text,sentiment
"Just finished The Village. So in love,could watch it over and over! Wonder why I can`t get to sleep tonight",positive
back from lunch and it`s pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!,positive
 physics  the most boring class ever!,negative
" ur taking tease lessons from the guys! No fair   LOL, oh well, we`ll wait as patiently as we can!",neutral
" Oh, that`s bad. I made that mistake once before but still managed to pass though. So maybe it isn`t as bad as he thinks?",negative
 loved you in head over heels! One of my fave movies! you looked stunning last night,positive
"may gray, coldplay, and nice showers...work at 2",positive
  but they`re hungryyyyyy,neutral
Getting one of the lil GEM`s ears REpierced after work today- definitely dreading it,negative
" - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",positive
its my birthday.....happy birthday to me!!!!,positive
  youstinkatrespondingtotexts!,negative
watching neighbourss.,neutral
" im sure he will  and if its not today, maybe it will be tomorrow..",neutral
....yup stil at work,neutral
 pancakes!! with lemon and sugar thanks!,positive
 just relax like it is or translated to swedish too? Just got to take a look at my next comment,positive
 loadsa shizze has happend  IM SO UPSET..,negative
"can`t find my trusty hair tie  My hair will spill all over the place when I run!Mom`s bands doesn`t work for me,normal ones hurt.(((",negative
 boo...I thought being on the list meant it would be good to go  looks like i`ll have to get a CF adapter for my dslr!,negative
Show 147 in pre-pre production ....... a bit behind,negative
I don`t like when my g1 changes.    I feel like google should send me an email and tell me all the things they`re gunna do to my phone.,negative
i am going to be disgraced with myself for life if i don`t make it in next year. being a perfectionist sucks. good luckkkk,negative
"  Yes, you should go see Star Trek!  It`s sooooo much fun!",positive
I REALLY wish I was spoiled!,negative
 Really worth watching at the cinema.  Mum really enjoyed it,positive
" haha well i was at my friend`s party, but then i realized i forgot my stepmom`s bday, so i had to come home to call her!",neutral
sooo reluctant to study for finals right now.... but i have to,neutral
"nothing much on tv, seen most of the good stuff...think i`ll go to bed soon, but it`s too hot to sleep",neutral
going to second morning of the day... just sleeping for 3-4 hours,neutral
May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw,positive
Update 100,neutral
At nosely safari park with Leah,neutral
"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",negative
"FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! >;(",negative
" yippee, darling girls. Love you sooooo much  and so thrilled you found each other!",positive
would like a hug and a kiss from Eric. Long distances really really stink,negative
"battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t",negative
 This was funny! I have 7.,positive
hope`s she see her bestie today,positive
"Im regretting the alcohol I consumed last night, MY HEAD",negative
Finally off work...long night.  Hangin with ,neutral
 - mostley yellow and green,neutral
" Couldn`t see one, but I`m probably blind  Do you have a link to it?",negative
hee hallo ,neutral
_erincharde yea as an afterthought,neutral
im quite upset do I really look under 15 :| they must have thought i was 14 or something ! Whatt ! thats unfair,negative
Why am I so tired?????? Whyyyyy make it stop. Merm is not going to be fun tonight.,negative
 Wahey! Fancy meeting you here  Thanks for the tweet and great to be twittered together,positive
Lookin` at spreadsheets so long my eyes are crossing...,negative
Looks like it`s going to be a upset for Venus,negative
time to go swimming in the freezing water at kalies. yeah!,positive
is going to help lancey cook,positive
"Tomorrow afternoon (well, later today actually) is a shoot with Seattle Sinner Newspaper and Femme Fatale Seattle photographers",neutral
" Oh Jordan! IÃ¯Â¿Â½m ready for the next contest, baby!!!! CanÃ¯Â¿Â½t wait! Kisses from Brazil. I love you!",positive
"..the weather may makes it, cause temp fell down to 15C from 30C which were yesterday  ...",neutral
 - Woo! Great subject for this month. Now I can use my sparklers,positive
Wishes  a Happy Mother`s Day!,positive
"() OMG SHUT UP!!! (sorry. still venting at that person who`s annoying me. It`s none of you, I swear  )",negative
" Let`s hope and pray, we go a wiser way! :  Let`s hope and pray, we go a wiser way!  http://bit.ly/TzxqN",positive
"Morning twitties! Heading to college, just back from the docs, god I`m hungry  streching my ears again today! 10mm ;) payday I love you!",positive
1 month 3 wks till the big day!   ~CSH,neutral
Now i`m fully awake,neutral
 quite all right. **** sounds better than clock coming from a female anyway,positive
 Exactly! Silent treatment is a great torture method,negative
"Good morning tweeps! Monday got here way too soon! Hope you are having a good one, at least as good as it can get for a Monday",positive
Noooooo worst news ever today my tattoo artist is moving omg what am I going to do!?!?!?!?,negative
"I have drunk hickups. I had a pretty laid back, great night. But I still can`t help but be mad about the situation I put myself in",neutral
in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),negative
Just saw a dark burgundy Scion xB. That dark shade makes it look like a minivan because the shawdows of the lines and curves are lost.,negative
() 1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I`m tired. 7-Aaaand I`m out.,neutral
" lol ik they are, but i figure i`ve kept it for a year+ without needing virus software or to get it fixed  sigh",neutral
 blimey! You`re still suffering?!!,negative
Miss the newest version on Glade on Debian..,negative
is going to work an amazing charity event for big brothers big sisters. i don`t mind working if its for a good cause,positive
Leaving for Atlanta in the morning to catch JoCo and Pa & St!!! I`m excited! Missed P&S at D*Con last year.  That made me a sad owl.,neutral
 gonna go home and TRY to take a nap. I am emotionally exhausted   ... I will be in after.. <3,negative
" Thanks, Enjoy your dinner tomorrow",positive
trying to get a sale in my job...,neutral
 so seriously...I need a date to a wedding. Really dont wanna go alone. Its May 23rd...any chance?,negative
" Would *you* pay $60K for a lunch with Oscar de la Renta?  I don`t see her hitting East Village shops, do you?",neutral
" OH WAIT, I read that wrong. OK hellboy",neutral
about to book train tickets for friday!,neutral
"PINKPOP weekend & I`ve got NO tickets, meaning no BRUCE Springsteen  Oh well, it`s WWWWWEEEEEEEEEEEEEEEKKKKKEEEENNNNDDDD!!!!!",negative
finishing washing dishes,neutral
 haha we had balcony seats  not that great. there`s a giant dragon thing that has glowing red eyes and moves its wings!,negative
"just got out of prom, it was fun  off too after prom text me",positive
Off to the gym by myself!  no fun!,negative
" i hope so, recorded the pit/was game to find out it didnt record... lucky it wasn`t the leafs, i woulda lost it by now",negative
still page one on Google   still cant quite believe it   not spent a cent to get to page One..... Wow what next...Mmmmmm,neutral
Did not win Kelly Clarkson Tickets. Sorry Cecilia. Really wish I could give that to you! You so much deserve it.,negative
IDIOTat)tux11 That`s cool.  Th*nks for the follow.   (techyuppie) #IDIOT,positive
Ok so I did shed a few tears watching the preview for next weeks Medium. I`m so scared. I`m so addicted to this show. I love it,neutral
"Welcoming new #followers: , ,   ,  & . Thanks for the love. Tweet on!",positive
"I left a chocolate egg sitting in my office, and now it`s calling my name......................",neutral
I want some Starbucks..,neutral
"Well, enough mushy family talk. To bed I stubbornly go.",negative
"_Twitster ohhhh, I love Morse, have every episode on video & sometimes gaze lovingly at them",positive
 Thank you  and hope you are having a great day,positive
at school. Rusty just put Oh It Is Love on my ipod. awh,positive
  Hi Jenna. Hope all is well   Just thinking of you and wishing you the best! Lots of love from over here in New York!!!,positive
"is sipping OJ in the sun in San Pedro at La Soberana again, with sunny smiley Nita...  The garlic tomato paste is delicious! Yummy!!!",positive
yey finally home,neutral
"Nice place to eat in sao paulo, brazil  http://twitgoo.com/28hh",positive
" Oooh, neat!  Yes, SF has such good food.  Again, so jealous of all you SF people.",neutral
"Bored and kinda lonely, my parents went up to the lake. I didn`t have a friend to bring up so i knew i was bored and didn`t go.",neutral
 aww... my mom will appreciate it   Much the same to your familias! When do you leave for tour?,positive
sad day*Lakers please make me happy with a W,negative
" http://twitpic.com/2uzx4 - haha, his heads bigger than yours! awwwh, lol",positive
Then me disliking you is a rumor!  cyndi! What made it look like i didn`t like you?,negative
 ****. it should be recoverable. it`s just the boot part that`s messed up. grr argh. my business was on there.,negative
Going to Houston and Nola this weekend with . Who wants to join us?,neutral
My whole body back pain treatment and detox starts Monday. Not looking forward to a summer of hot yoga and healthy food.,neutral
gooooood morning,positive
_uts bass love,positive
Surf`s up this week - starting this afternoon,neutral
 I`ve been readin your last few twitts. I hope your ok,positive
wants TFA back.  http://plurk.com/p/x2rgl,neutral
feelin nice after this bottle of bacardi,positive
_Smith glad the zoo was fun and you had a great mothers day hun,positive
 why is it your last EVER uk tour  ?? x,neutral
 hi Add me.  it`s shannen,neutral
  cool its my P,neutral
", Decaf? I can do some teas late but never coffee- Id fly around the room. Justin Timberlake hosted. FUNNY sketch w/ Samberg",positive
 How dare you apologize to the UK for being gone for a while but don`t apologize to america for never touring here at all!!!,neutral
Time to take a astronomy test!,neutral
ummmm i have no idea what im doing but my friend is pissed off at me now and i dont know why she hates me so much I NEED HELP BRITNEY plz,negative
Ugh what an amazing night. Time for bed! I know i`m gonna sleep well. And with no getting up early!  good night!,positive
 good morning hun! i loved the movie what happens in vegas~ it is such a good movie,positive
 right.,neutral
 lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,positive
 Oh noooooo!!!      I`m so sorry!!  That sucks hard!,negative
WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,negative
"Hell, my iTunes music library is even bipolar!",negative
farrrrr . pdhpe assignment due next week and have english homework !,neutral
" hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you>?",neutral
" I have been subtly replacing it with 'penetration testing' when I see it, but nobody`s caught on yet.",neutral
"Yaaaaaaay, bday!",positive
Shopped til i dropped....come bac sunshine i miss u,negative
Running errands with my little man. Maybe he won`t act like a 3 year old today.,neutral
 Will arrive tomorrow morning at 7  #early,neutral
 good to know PLN`s Earthday doesn`t only happen in my neck of the woods,positive
 72-65 Cavs! The score is and was! LOL,neutral
 WTF!!!!  LMAO!!! *Just got hit in the head with bloody balls*,negative
Panera is not being nice to my iPhone,negative
hi to all twit friends  happy mother`s day to all the beautiful and amazing mothers out there,positive
"Sick. Feel like jello, can`t talk, and delirious.",negative
 am alive   but at work   finish at 1300   sun is out,neutral
"If you wanna read something, I recommend  http://estrella05azul.wordpress.com/",neutral
 nice have fun....Although you cant not have fun lol,neutral
 Please bring  to your show,neutral
"Happy Friday Dance, no rain and I`m about outta here..till 2morrow  I sat the saturday morning shift, but its still all good",positive
", totally worth it!! great movie cool 3D glasses! i miss ya! and i miss   and i miss new york too",negative
Tryin to figure out how to direct message and is gettin frustrated,negative
"In a lazy sunday; just had a very late lunch,and forget to buy PR,we`re on page 16",neutral
 It is a drink but they have a trainer brand too.. http://www.office.co.uk/brand/babycham/8 <<have a look,neutral
Brittany moved,neutral
Checkin out oramarecords.com. Got a fever and cnt sleep,negative
 are you guys dead again?  I can`t load it up,negative
PrinceCharming,neutral
Starting out  bday bash with a Blue Moon  - Photo: http://bkite.com/07k6X,neutral
"its friday!  well, technically anyway...but its really thursday for me.  dang having to work saturday mornings",negative
Omg! Star Wars Day!  May the fourth be with you everyone  This calls for me to watch at least 1 film tonight.,positive
 Check this video out -- ScriptGirl Report 05.08.09 http://bit.ly/hclXP ... I can officially now survive the weekend,neutral
"Wishing I could go with  to SoCo to go climb, instead I`m stuck at work all weekend",negative
relaxing night at home with best people,positive
I`ve got to catch the bus to work,neutral
is incredibly worried about Stanley...,negative
" Hello, yourself. Enjoy London. Watch out for the Hackneys. They`re mental.",negative
"http://tinyurl.com/c4z6gn Wow.. Wow.. hope, i too get that sort of Guts in near future",positive
"_Girl Girl, those are bangin` shoes!!!  Work it!",neutral
Ugh I can`t breathe right today,negative
 No. Not professional at all.,negative
a headache once again ugh,negative
Lost a battle with the couch....phone has been blowing up,neutral
was hoping to go to Red Lobster this weekend,neutral
 aww thanx andy,positive
_Cool yep here`s hoping,positive
" Cool! I have one (from a decluttering friend), but I don`t know how to play",neutral
"_Ichigo She tried to carry on aswell, bless, I suppose maybe that`s why kids shouldn`t be in it?",positive
 this hiatus of yours is like... really long. Boo,negative
Flap-a-taco was nice until the plebs came in.,negative
"  he should be an honourary fluffette, such lovely hair (what`s left  )",positive
" - they have their headaches the morning after, instead!",negative
anticipating a tough day ahead,negative
right guys i have to go,neutral
 I`m sure Mayor Brainard will be thrilled to hear that you`re a fan.,positive
 Yes. Need to listen to sad SP-Songs,neutral
" Thanks. I am greedy, looking for a full fledged widget (a la twitter) so I can like and share from within NV. 2 much to expect?",positive
 why you never answer me...,negative
I only hve 9followers,neutral
 haha..i wont  well il try not..lol... night chick..xxxxx,positive
 I tried that but I can only use import/export for contacts saved locally on my Outlook. Thanks Though,positive
  if she sees that she will cry! lol,negative
 fantastic day in the AZ sun,positive
" Hello!! sounds very good, you can count on me, I follow you!!!",positive
i should have run today  but i let my slight aches be a bad excuse    i`ll make it up tomorrow go 5.5,negative
" Ooh, jealous. I just have yoghurt and some carrots.",negative
 awww Mary I wish I could come but I`m going away 2morrow,positive
I wish GM stock would turn around at 80 cents a share I would be willing to buy some...if I knew it would do something,positive
"_FC sounds good  maybe some player quotes, photos etc I`m living in WA atm so would love bits and pieces from the Ady and Sun",neutral
" workies with dad?  aw that sucks working on saturday morning. I`m about to study, when are your exams?",negative
"Is so freaking bored on the bus. Hate being poor, Ã¯Â¿Â½4.80 return for a 10 min train or Ã¯Â¿Â½2 return for an HOUR long bus.ipod has no battery 2",negative
Aww I heard I just missed you two  &  !,negative
need to go to work soonish but i really dont want to  also trying to save money... life is fab (not),neutral
"In regard to knowledge, I am like the little robot in the movie 'Short Circuit.' I am always crying out: 'Imput! Imput!'",negative
 omg i forgot about that! you lucky thing! hope you have fun!!  x,neutral
I wanna talk to Mitchel Mussoooooo,neutral
Seriously though. Amazing night.,positive
" Oh girl, get that baby going to bed at 7pm!",neutral
going to work till 3...then maybe ride the horses and take my sister to softball pratice,neutral
my favorite curling iron broke,positive
my mum would be happy to receive 2 handbags and a card from us today. heheee.,positive
****. I got a math test today.,negative
last day of classes!!,neutral
"#BGT DCD Seniors were good, but not good enough.",neutral
Monday mornings couldn`t exist if it weren`t for some hot tea.,neutral
"early morning~2:30 am~what`s up? I am!~~!!played w/ my babies outside~wow~was in the 80`s~felt great!~~got lonely, misses sissy and jess",neutral
dang need to go to cousins and i didnt upload all the videos  now i need to do it later!,neutral
 look at your followers... your tweeps list will then be fully populated,neutral
Is feeling a bit lonely,negative
"i think i just about have all my info syncing properly between my mac, mobile me, and iphone. yay! finally",positive
 http://twitpic.com/4vp3x - *swoon* Nick looks so cute when he is serious  *faints*,neutral
 We keep very different hours.,neutral
is slowly gettin more followers  vry slowly,neutral
"Just booked my tickets for London on thursday, i`m so exicted",positive
" MY FAV. SONG IS UH...honestly, its rude for u to make us choose.  lol I love `em all!",neutral
I lost followers  Was it something I said?  I swear I am not into freeballing.  Ugg that is the last time I mention that thing.,neutral
some advice for all of you: dont pressure wash your foot. it hurts and is not worth it. you really do want the skin on your foot. FYI. ow,neutral
 rest well!,positive
waitin for dr dee.... had lunch with my beautiful lady  before that i was on the gym ... ( yeah need to loose 10 more  ),positive
Ugh boring friday,negative
have an extra Justin Rutledge ticket for the Mod Club tonight,neutral
  boo. I used to live in upland... Have funnnn,positive
New Twitter coolness: conversations with neighbors (http://is.gd/ybd0) during a thunderstorm.,neutral
I overslept  headache,negative
 Hope you feel better soon and check out my cool backround on my profile,positive
" So sad...found otu about your boot camp too late.   Oh well, may be in LA that day anyway.",negative
"today i was so happy got i got off school early, but now i`m bored!!",neutral
 That just means you were not trying hard enought,negative
Time to get off the puter. Nite all.,neutral
once i hit christian in the head with a metal bat! haha he then socked me in the eye! haha i miss being a reckless little kid,negative
Has that sinking feeling that it`s all about to go **** up.....bracing myself for the comedown,negative
"Gonna miss you Nanna & Bampa, She going to the lake disdrict ):  Omg !! got disney channel. Miss you baby matt  Love you x Will do mitchel",neutral
 man i missed it!! Ive been waitn all day 4 u 2 giv the tix away & then whn im rappn up @ wrk u gav my tix away! Im sad!,negative
"http://twitpic.com/675tw - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",negative
"Wathing Dollhouse on Hulu, eating the special from El Taquito and a beer. B-day week is going well",positive
"**** it, the guys aren`t at #comet09  I hope they win though",positive
.: no health insurance is not an option.,neutral
giving myself a manicure + pedicure  ahhh how i`ve missed you nice pretty nails...,positive
 lady gaga tweeted about not being impressed by her video leaking just so you know,negative
"****. I had 11 goldfish.  Oh well, that`s my dinner. Anyways! Check out my blog yoooo http://weaselbee.blogspot.com/",neutral
Its pouring and i have holes in my shoes,neutral
Its a Bank Holiday!..... If you`re happy and you know it CLAP YOUR HANDS!,positive
"going to shibuya, meet my mom, get my contact lenses, then shinjuku",neutral
FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! <3,positive
"this is the worst day ever, i`ve been told im a chav",negative
 I`m glad  you def needed a pick me up!  drama free!,positive
" its funny, I didn`t even know it was there!",positive
****. My friend`s in such a state and I don`t know how to help him. Nothing I say seems to be helping and I wish I knew what to say,negative
Big Sugar = yet another `90`s bandwagon I was too late to get on. Next S&D BNL should reunite them (kind of like they did for the Odds).,neutral
Heading into Glasgow for a rehearsal for my upcoming show,neutral
 no actually it gets rid of the bacteria and they thaw out nicely,neutral
" no, but I will. It just seems such a cruel condition",negative
Boognish wishes Clemmie would be nice to me  http://apps.facebook.com/catbook/profile/view/6831309,positive
 oh nice going!,positive
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,negative
Bout 2 Miss Mah Lakers Play 2day...  This Orange Box Is **** Up The Rotation!.. Mah Real LA Fam.. Keep Me Posted!.. I LOVE HATERS 2!!,neutral
Wishing all the Mama`s out there a very Organic Happy Mother`s Day,positive
" nope  i wasn`t home went it was on but i will soon,",neutral
 doin fine relaxin at work... Hardly working,positive
Someone bring me milk for my cookies!,neutral
Just watched the movie The Holiday. I had forgotten what a feel good movie it was!  Lovely evening.,positive
_r I can`t get one either because of the dog. I`m pretty sure the bunny wouldn`t survive a struggle with Tom,neutral
is taking mommy to the airport.,neutral
 Love the unique accordion thief buffs - thank you!,positive
Heading out to do a relay in the Belfast marathon,neutral
so this my last week of school then finals yesss,neutral
 uuuugh  i hate everything,negative
 understandable. yah i leave on monday! I`ll be gone when you`re in chi,positive
but this little boy still makin me  work during the storm!!!,negative
Dads should ask their 22 year old sons before drinking.,neutral
Can I get a 'what?'  'what?'...the baby sent some Twitter messages on my behalf,neutral
 OH THAT`S GOOD! My top 4 are: The Haunted House/Sound one; Bakery; Inside Ralphie`s body; & ..... I FORGET!!,positive
 The newest versions are not any better,negative
Wishing all the Mom`s in the world a VERY HAPPY AND RELAXING MOTHERS DAY. May you get to spend the day with your feet up being pampered,positive
Wanted to buy Amber Bensons death`s daughter today and no where had it,neutral
" - Me. because my ex boyfriend of 2 years (we broke up 2 months ago) is engaged to his gf of 6 weeks.  sad, embarrassed. Hug?",negative
Didn`t realize Animal Kingdom closes so early at 5:00 today. Now I`m stick in the exit traffic,negative
" Yes, I liked it very very much  It wasn`t even cheesy!",positive
 me too  Thats why im driving down to Cali in July for HIN Pleasanton.,neutral
 a walk in the clouds; sweet november; lake house.,positive
Longest trackk meet everrr,neutral
" Glad to hear you`re okay. Could have really hurt, by the sounds of it. Is the couch okay? lol",neutral
 yeaaa i just got the link off his lj,neutral
 good luck!! How exciting,positive
_e im going to my dance class now,neutral
**** maaaaannnn.. its holidayzzzzz...,neutral
two months from today till I`m Mrs. Josiah!! ahhhH!,neutral
One more thing 'Shattered' is an amazing song by O.A.R.,positive
 Are you a night owl or what? Always on here as the same time as myself  Enjoy your scifi show.,positive
Zombies make great huggers b/c they don`t lower their arms or move to fast...  Ã¯Â¿Â½  (via ),neutral
 lol were always friends  i havent got hers yet .. and im busy next weekend  dunno when im getting yours and hers,neutral
"Well, there goes *that* shirt. Haha",neutral
"just missing you&hoping to talk to you soon..I`m so happy you`re mine again, though  You have no idea..<3",positive
My TI89 died. I don`t know why.,negative
" ohh yeh , but he was on sexy men so its okay",neutral
"_magician Yes, apnea, but it`s not the prob. I`m on meds that might be causing this.  they help otherwise so much, don`t want to stop",neutral
#twpp ..still nw in trending topics..,neutral
_benson It`s raining where I am. I wish it wasn`t.,neutral
its Monday and all is good,positive
Youtube is made of fail right now. Or maybe it`s just me that it hates.,negative
Has finally found her new flat.,neutral
i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,negative
Got the CofO to late didn`t close today   Will close Monday....back out to meet a buyer tonight to show a few homes to,neutral
_Morgan_  which 1? There r2 that I love and want to share  i just wish I`d made them-,positive
 It was an app that changed your wallpaper to one of several hundred at random intervals. It`s hard to find good wallpapers.,negative
the low point: a poor pigeon outside my building isn`t capable of flying. It`s just wandering up and down the sidewalk. so sad,negative
wish i can be with her every day,neutral
 agreed,neutral
" and what about me, huh? I`m crying. Did U forget me?",negative
"Stupid liars. Glad they are ignorant, because I had a blast!!",negative
"_haze aww I^m sorry that Ray Wise has appeared on the show yet   , I watch  everyday except for Friday its a best of AOTS.",neutral
Oh..I`m so borin`.. why not play the computer?? My mom`s say: because your makin` task..!!,negative
"Signing off folk, might be back on later!",neutral
 thanks dinno  appreciate it,positive
"Watching 'All the Kings Men', It be pretty good so far!",positive
 Actually people were more decisive than that.,neutral
"One final down, two to go!",neutral
Going to see my grandad today  <3,neutral
 yen lol but i can only get the vid on my phone and ipod cant find the song  lol,negative
"I wish I could buy blink 182 presale tickets, but I totally don`t have the money right now. Guess I have to wait for general admission...",neutral
back to my office.  the fire alarm went off due to someone burnt food in microwave,negative
will miss jay leno ..,negative
 thanks got it will contact you if i am having troubles!Thanks,positive
"passed my drivers test! i can drive!...oh wait, i don`t turn 16 till october",neutral
 ur welcome  u finished ur speech (typed it and written notes),positive
 Thanks. End up going to Makino Chaya,positive
juss dropped the wife off I love her so,positive
 Would defo have done that but Im already booked over t`other side of the country,neutral
Morning. Off to school... Ickkk!,neutral
 haha who thought that?,neutral
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive
"'suprised' mom with a cake and a present, because it`s mother`s day!  dad had bought flowers. : >",positive
need to pass the exams,neutral
justwatched the most depressing episode of Jon  Kate EVER!!!i actually almost cried.,negative
Had the hottest and stressiest day at work  f the area manager. So happy to be going home!,neutral
@_kotenok !!  ... maybe they took one look at you and said 'That`s our girl!',neutral
wish i didnt have to go to work tonight,positive
"standing here open hands and i know i can`t do this alone hold on, hold on, baby, hold on...geeez",neutral
workin at la bootay... wheres the warm weather at???,neutral
home after a while out! i feel like a long skate seshion but got arrands to do,neutral
Just dropped my sistah off @ lax.    #fb,neutral
" http://twitpic.com/4jjlc - I love it! If it`s pouring rain, I still want to go.",positive
Will you guy`s keep voting for her and ask u`r followers to help to. Only 4days left before competitions close.,neutral
wishing my days off were the same days that people wanted to party.,neutral
